FID,NFDBFIREID,SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,SIZE_HA,CAUSE,CAUSE2,FIRE_TYPE,RESPONSE,PROTZONE,PRESCRIBED,MORE_INFO,CFS_NOTE1,CFS_NOTE2,ACQ_DATE
254316,MB-1976-1-7-2-76,MB, ,1-7-2-76, ,52.884900000000002,-95.499200000000002,1976,5,16,1976-05-16 00:00:00,,1976-06-22 00:00:00,5173.899999999999600,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
254327,MB-1976-5-4-6-76,MB, ,5-4-6-76, ,51.109800000000000,-95.690200000000004,1976,5,31,1976-05-31 00:00:00,,1976-12-31 00:00:00,13080.000000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
254331,MB-1976-5-2-13-76,MB, ,5-2-13-76, ,52.659399999999998,-96.366399999999999,1976,6,1,1976-06-01 00:00:00,,1976-07-13 00:00:00,377.000000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
254366,MB-1976-5-1-20-76,MB, ,5-1-20-76, ,50.695099999999996,-95.553299999999993,1976,6,5,1976-06-05 00:00:00,,1976-06-14 00:00:00,823.500000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
254378,MB-1976-5-2-44-76,MB, ,5-2-44-76, ,52.772100000000002,-95.190899999999999,1976,6,10,1976-06-10 00:00:00,,1976-06-10 00:00:00,1576.099999999999900,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
254383,MB-1976-1-4-35-76,MB, ,1-4-35-76, ,53.328699999999998,-96.129300000000001,1976,7,6,1976-07-06 00:00:00,,1976-08-28 00:00:00,8079.199999999999800,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
254395,MB-1976-1-7-30-76,MB, ,1-7-30-76, ,53.008600000000001,-95.559700000000007,1976,7,18,1976-07-18 00:00:00,,1976-08-18 00:00:00,606.899999999999980,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
254423,MB-1976-5-3-40-76,MB, ,5-3-40-76, ,50.833399999999997,-96.315100000000001,1976,9,29,1976-09-29 00:00:00,,1976-12-31 00:00:00,875.399999999999980,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
254437,MB-1977-5-2-4-77,MB, ,5-2-4-77, ,51.684500000000000,-95.533100000000005,1977,5,12,1977-05-12 00:00:00,,1977-05-26 00:00:00,373.300000000000010,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
254444,MB-1977-5-4-12-77,MB, ,5-4-12-77, ,51.131599999999999,-95.701800000000006,1977,5,25,1977-05-25 00:00:00,,1977-06-07 00:00:00,324.899999999999980,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
254459,MB-1977-1-7-45-77,MB, ,1-7-45-77, ,52.884900000000002,-95.354100000000003,1977,6,26,1977-06-26 00:00:00,,1977-07-20 00:00:00,505.699999999999990,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
254503,MB-1979-5-2-7-79,MB, ,5-2-7-79, ,52.601199999999999,-96.390400000000000,1979,6,30,1979-06-30 00:00:00,,1979-09-08 00:00:00,5939.300000000000200,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
254522,MB-1979-5-4-26-79,MB, ,5-4-26-79, ,50.971499999999999,-95.562299999999993,1979,7,18,1979-07-18 00:00:00,,1979-07-20 00:00:00,509.199999999999990,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
254523,MB-1979-5-4-25-79,MB, ,5-4-25-79, ,50.971499999999999,-95.539000000000001,1979,7,18,1979-07-18 00:00:00,,1979-08-02 00:00:00,1093.599999999999900,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
254524,MB-1979-5-4-17-79,MB, ,5-4-17-79, ,50.811500000000002,-95.691800000000001,1979,7,18,1979-07-18 00:00:00,,1979-08-13 00:00:00,1168.000000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
254576,MB-1980-5-2-13-80,MB, ,5-2-13-80, ,52.222900000000003,-96.374899999999997,1980,5,27,1980-05-27 00:00:00,,1980-07-14 00:00:00,31769.000000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
254598,MB-1980-1-7-19-80,MB, ,1-7-19-80, ,52.972200000000001,-95.499200000000002,1980,6,12,1980-06-12 00:00:00,,1980-08-08 00:00:00,469.300000000000010,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
254605,MB-1980-5-2-46-80,MB, ,5-2-46-80, ,52.106499999999997,-95.970299999999995,1980,6,14,1980-06-14 00:00:00,,1980-06-24 00:00:00,297.300000000000010,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
254606,MB-1980-1-7-30-80,MB, ,1-7-30-80, ,53.023099999999999,-95.593100000000007,1980,6,16,1980-06-16 00:00:00,,1980-08-11 00:00:00,205.099999999999990,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
254612,MB-1980-5-2-58-80,MB, ,5-2-58-80, ,52.470199999999998,-96.582300000000004,1980,6,24,1980-06-24 00:00:00,,1980-07-12 00:00:00,550.399999999999980,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
254613,MB-1980-5-2-57-80,MB, ,5-2-57-80, ,52.746699999999997,-96.502700000000004,1980,6,24,1980-06-24 00:00:00,,1980-07-25 00:00:00,2652.000000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
254641,MB-1977-7-5-44-77,MB, ,7-5-44-77, ,52.790300000000002,-100.553100000000000,1977,5,24,1977-05-24 00:00:00,,1977-06-09 00:00:00,1011.600000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
254666,MB-1980-7-5-35-80,MB, ,7-5-35-80, ,52.601199999999999,-100.456500000000010,1980,5,22,1980-05-22 00:00:00,,1980-08-02 00:00:00,208.800000000000010,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
254720,MB-1976-7-2-26-76,MB, ,7-2-26-76, ,51.771799999999999,-100.179700000000000,1976,10,10,1976-10-10 00:00:00,,1976-11-05 00:00:00,491.600000000000020,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
254723,MB-1976-7-2-28-76,MB, ,7-2-28-76, ,51.746299999999998,-100.250600000000010,1976,10,12,1976-10-12 00:00:00,,1976-11-05 00:00:00,990.200000000000050,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
254728,MB-1976-7-1-26-76,MB, ,7-1-26-76, ,51.851900000000001,-100.303700000000010,1976,10,31,1976-10-31 00:00:00,,1976-11-05 00:00:00,838.299999999999950,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
254736,MB-1976-7-1-27-76,MB, ,7-1-27-76, ,51.724499999999999,-100.297800000000000,1976,11,1,1976-11-01 00:00:00,,1976-11-08 00:00:00,7434.600000000000400,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
254737,MB-1976-7-4-13-76,MB, ,7-4-13-76, ,52.495699999999999,-100.840300000000000,1976,11,2,1976-11-02 00:00:00,,1976-11-03 00:00:00,1165.400000000000100,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
254741,MB-1976-7-4-14-76,MB, ,7-4-14-76, ,51.906399999999998,-100.563500000000000,1976,11,4,1976-11-04 00:00:00,,1976-11-10 00:00:00,230.699999999999990,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
254746,MB-1976-7-2-38-76,MB, ,7-2-38-76, ,51.775500000000001,-100.138400000000000,1976,11,16,1976-11-16 00:00:00,,1976-11-22 00:00:00,206.199999999999990,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
254747,MB-1976-7-1-31-76,MB, ,7-1-31-76, ,51.808199999999999,-100.457200000000000,1976,11,16,1976-11-16 00:00:00,,1976-11-19 00:00:00,219.699999999999990,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
254812,MB-1977-7-2-77-77,MB, ,7-2-77-77, ,51.750000000000000,-100.256500000000000,1977,5,11,1977-05-11 00:00:00,,1977-06-06 00:00:00,365.100000000000020,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
254859,MB-1980-7-1-3-80,MB, ,7-1-3-80, ,51.753599999999999,-100.427700000000000,1980,4,18,1980-04-18 00:00:00,,1980-04-23 00:00:00,404.600000000000020,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
254879,MB-1980-7-2-12-80,MB, ,7-2-12-80, ,51.797300000000000,-100.262400000000000,1980,4,26,1980-04-26 00:00:00,,1980-05-09 00:00:00,322.899999999999980,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
254891,MB-1980-7-5-24-80,MB, ,7-5-24-80, ,52.844900000000003,-101.580699999999990,1980,4,30,1980-04-30 00:00:00,,1980-05-25 00:00:00,270.000000000000000,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
254911,MB-1980-7-2-28-80,MB, ,7-2-28-80, ,51.844600000000000,-100.232800000000000,1980,5,20,1980-05-20 00:00:00,,1980-07-03 00:00:00,2647.000000000000000,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
254971,MB-1982-7-2-3-82,MB, ,7-2-3-82, ,52.615800000000000,-101.020300000000010,1982,4,27,1982-04-27 00:00:00,,1982-05-10 00:00:00,552.899999999999980,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
255040,MB-1974-5-2-4-74,MB, ,5-2-4-74, ,51.429900000000004,-95.254900000000006,1974,6,20,1974-06-20 00:00:00,,,200.000000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255055,MB-1974-5-4-5-74,MB, ,5-4-5-74, ,51.015200000000000,-95.486699999999999,1974,7,1,1974-07-01 00:00:00,,,303.199999999999990,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255062,MB-1974-5-2-23-74,MB, ,5-2-23-74, ,52.117400000000004,-95.375299999999996,1974,7,5,1974-07-05 00:00:00,,,6496.000000000000000,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
255071,MB-1974-5-2-40-74,MB, ,5-2-40-74, ,51.899200000000000,-95.332400000000007,1974,7,11,1974-07-11 00:00:00,,,23342.000000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255073,MB-1974-5-2-46-74,MB, ,5-2-46-74, ,51.459000000000003,-95.272499999999994,1974,7,12,1974-07-12 00:00:00,,,3584.000000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255084,MB-1974-5-2-66-74,MB, ,5-2-66-74, ,51.975499999999997,-95.494299999999996,1974,7,29,1974-07-29 00:00:00,,,1452.000000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255091,MB-1974-5-2-74-74,MB, ,5-2-74-74, ,51.549999999999997,-95.530299999999997,1974,8,8,1974-08-08 00:00:00,,,1000.000000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255126,MB-1976-5-2-16-76,MB, ,5-2-16-76, ,52.470199999999998,-95.310900000000004,1976,6,2,1976-06-02 00:00:00,,1976-06-18 00:00:00,2404.699999999999800,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255133,MB-1976-5-4-17-76,MB, ,5-4-17-76, ,51.131599999999999,-95.236599999999996,1976,6,4,1976-06-04 00:00:00,,1976-08-02 00:00:00,690.000000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255134,MB-1976-5-4-19-76,MB, ,5-4-19-76, ,51.044300000000000,-95.306399999999996,1976,6,4,1976-06-04 00:00:00,,1976-07-30 00:00:00,3718.000000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255153,MB-1976-5-2-48-76,MB, ,5-2-48-76, ,52.004600000000003,-95.333699999999993,1976,7,3,1976-07-03 00:00:00,,1976-09-15 00:00:00,1274.599999999999900,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255203,MB-1977-5-2-24-77,MB, ,5-2-24-77, ,52.368400000000001,-95.862600000000000,1977,6,26,1977-06-26 00:00:00,,1977-07-11 00:00:00,322.000000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255244,MB-1979-5-1-5-79,MB, ,5-1-5-79, ,50.491500000000002,-95.183499999999995,1979,6,30,1979-06-30 00:00:00,,1979-08-31 00:00:00,1030.200000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255247,MB-1979-5-2-9-79,MB, ,5-2-9-79, ,51.990000000000002,-95.446700000000007,1979,7,3,1979-07-03 00:00:00,,1979-07-19 00:00:00,2082.300000000000200,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
255251,MB-1979-5-2-14-79,MB, ,5-2-14-79, ,52.019199999999998,-95.589500000000001,1979,7,9,1979-07-09 00:00:00,,1979-07-23 00:00:00,273.500000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255252,MB-1979-5-2-13-79,MB, ,5-2-13-79, ,52.062800000000003,-95.589500000000001,1979,7,9,1979-07-09 00:00:00,,1979-07-23 00:00:00,551.600000000000020,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255253,MB-1979-5-4-13-79,MB, ,5-4-13-79, ,51.189900000000002,-95.597200000000001,1979,7,9,1979-07-09 00:00:00,,1979-08-12 00:00:00,1128.000000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255261,MB-1979-5-2-18-79,MB, ,5-2-18-79, ,51.422600000000003,-95.336900000000000,1979,7,12,1979-07-12 00:00:00,,1979-08-11 00:00:00,1494.700000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255266,MB-1979-5-4-20-79,MB, ,5-4-20-79, ,51.146200000000000,-95.190100000000001,1979,7,18,1979-07-18 00:00:00,,1979-08-02 00:00:00,270.899999999999980,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255267,MB-1979-5-4-24-79,MB, ,5-4-24-79, ,51.088000000000001,-95.236599999999996,1979,7,18,1979-07-18 00:00:00,,1979-08-12 00:00:00,481.699999999999990,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255273,MB-1979-5-2-55-79,MB, ,5-2-55-79, ,51.349800000000002,-95.383799999999994,1979,7,20,1979-07-20 00:00:00,,1979-08-11 00:00:00,436.699999999999990,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255296,MB-1980-5-4-7-80,MB, ,5-4-7-80, ,51.029699999999998,-95.329700000000003,1980,5,19,1980-05-19 00:00:00,,1980-06-30 00:00:00,45935.000000000000000,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
255303,MB-1980-5-2-24-80,MB, ,5-2-24-80, ,52.222900000000003,-95.280100000000004,1980,6,9,1980-06-09 00:00:00,,1980-06-29 00:00:00,455.100000000000020,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255307,MB-1980-5-2-25-80,MB, ,5-2-25-80, ,52.179200000000002,-95.446700000000007,1980,6,11,1980-06-11 00:00:00,,1980-07-15 00:00:00,3032.199999999999800,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255308,MB-1980-5-2-30-80,MB, ,5-2-30-80, ,52.411999999999999,-95.718699999999998,1980,6,11,1980-06-11 00:00:00,,1980-07-18 00:00:00,13720.000000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255311,MB-1980-5-2-36-80,MB, ,5-2-36-80, ,52.033700000000003,-95.565700000000007,1980,6,13,1980-06-13 00:00:00,,1980-06-28 00:00:00,247.000000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255312,MB-1980-5-2-44-80,MB, ,5-2-44-80, ,52.266599999999997,-95.898899999999998,1980,6,13,1980-06-13 00:00:00,,1980-07-15 00:00:00,3038.500000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255314,MB-1980-5-2-48-80,MB, ,5-2-48-80, ,52.411999999999999,-95.646699999999996,1980,6,15,1980-06-15 00:00:00,,1980-06-17 00:00:00,740.299999999999950,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
